subject,menu,choice
random5,E,
random5,"A,D","A,D"
random5,"A,C,D",A
random5,"A,B,D",A
random5,"B,D,E","B,E"
random5,"A,C,E","A,C"
random5,"C,E",C
random5,"B,C,E","B,C,E"
random5,"A,D",D
random5,"A,C",
random5,"C,D,E",
random5,"A,B,C",
random5,"B,D,E","B,D"
random5,"A,B,C,D","A,C,D"
random5,"A,B,E","A,E"
random5,"A,B,D","A,D"
random5,"B,C","B,C"
random5,"A,D",D
random5,"A,E",
random5,C,
random6,"A,B,C,E","C,E"
random6,"A,E","A,E"
random6,"A,B,E",
random6,C,C
random6,"A,C,E",
random6,"B,D",D
random6,"A,C,D",C
random6,"A,B",B
random6,"A,C",A
random6,"A,D,E","D,E"
random6,"C,D","C,D"
random6,"B,E","B,E"
random6,"A,B,C,D",D
random6,"B,C,E",E
random6,"A,E",A
random6,"A,B,C","A,B,C"
random6,"A,E","A,E"
random6,"B,C,D",B
random6,"A,B,D",A
random6,"A,B,C",B
random6,"A,C,D,E",A
random6,"A,B,C,D","A,B"
random6,"A,B",B
random6,"A,B",
random6,"B,D","B,D"
random6,"B,C,D,E","B,D"
random6,"A,B,E","A,E"
random6,"C,E",
random6,"A,B,D",A
random6,"A,B,D,E",
random6,"A,E",
random6,"A,C,D,E","D,E"
random7,"A,B,D","A,B,D"
random7,"B,E","B,E"
random7,E,E
random7,B,B
random7,"C,E",
random7,"A,C,D",A
random7,"B,C,D","B,C"
random7,"A,B,D,E",B
random7,"D,E",E
random7,"B,C,D","B,C"
random7,"A,C",
random7,"C,D",
random7,"A,B,C,D,E",
random7,"D,E","D,E"
random7,"A,B,E","A,B,E"
random7,"B,C,D","B,C,D"
random7,"B,C",C
random7,"B,C","B,C"
random7,D,
random7,"C,D",C
random7,B,
random7,"B,D",
random7,"C,D",
random7,"C,D",D
random7,B,B
random7,"A,B,E",
random7,"A,C,E",C
random7,"C,D,E","C,D,E"
random7,"A,C,E",
random7,"A,C",
random7,"A,B,D",B
random7,"A,C,E","A,C,E"
random8,"A,B,C,E",
random8,"A,B,D","A,B,D"
random8,A,
random8,"B,D,E",
random8,"A,B,C,D","A,B,D"
random8,"B,E",B
random8,"C,E",C
random8,"A,C",C
random8,"A,B,C",B
random8,"A,B,C,D,E",
random8,"B,D,E",E
random8,"B,C,D,E","B,D,E"
random8,"A,B,C,D","C,D"
random8,"B,E",E
random8,A,
random8,D,
random8,"B,C,E",
random8,"A,D,E","A,E"
random8,"A,B,C,D",D
random8,"A,B,C",
random8,"A,B,E",
random8,"A,C,D","A,D"
random8,B,
random8,"A,B,E","B,E"
random8,"B,C,D,E","B,D"
random8,"A,C,E","A,C,E"
random8,E,
random8,"A,C,D,E","D,E"
random8,"A,B,E","B,E"
random8,"B,C",C
random8,"B,C,E",C
random8,D,
random9,"B,E",E
random9,"A,D",A
random9,"C,D,E","C,D"
random9,"A,C,E",E
random9,"D,E",E
random9,"A,B,C,D,E","C,E"
random9,"C,D,E","C,E"
random9,"A,C,E","C,E"
random9,D,D
random9,"A,B,C,D,E","C,D"
random9,"A,D,E",A
random9,"C,E","C,E"
random9,"A,B,C,D,E","B,C,D"
random9,"A,B,E",B
random9,"A,B,C,E","A,C"
random9,C,C
random9,"A,C,D,E",
random9,"B,C,D","B,C,D"
random9,"A,E","A,E"
random9,"A,B,D,E",D
random9,"B,C,D","B,D"
random9,"B,E",
random9,"A,B,C,D","A,D"
random9,"A,E","A,E"
random9,"A,C,D",
random9,"C,D",D
random9,"B,C,E",E
random9,"C,E",
random9,"A,B,D",
random9,"D,E","D,E"
random9,"A,B",A
random9,"A,D,E",A
random10,"B,E",E
random10,"A,E","A,E"
random10,"C,D,E","C,D"
random10,C,C
random10,E,E
random10,E,
random10,"C,D,E",C
random10,"B,C,E",E
random10,"A,B",
random10,"C,D,E","C,D"
random10,"A,C,D","A,D"
random10,"A,B,E","B,E"
random10,"B,C,D",
random10,"B,D,E",E
random10,"A,C,D,E","C,E"
random10,"A,B,D","B,D"
random10,"D,E",D
random10,"A,B,C,E",B
random10,"B,C",
random10,C,C
random10,B,B
random10,"D,E",
random10,"B,D,E",
random10,"A,C",
random10,D,
random10,B,
random10,"B,D",D
random10,"A,B","A,B"
random10,E,
random10,"B,C,D,E","B,C,E"
random10,"B,C,D,E","B,C"
random10,"A,D,E",
random11,"A,B,D","A,D"
random11,D,
random11,"A,B,D","B,D"
random11,"B,C",C
random11,"C,D,E",
random11,"A,E",E
random11,"B,C,E",E
random11,"A,B,C,E",
random11,"B,C,E","B,C,E"
random11,"A,B",A
random11,"B,E",
random11,"B,D",
random11,"A,D,E",A
random11,"A,C,D,E",
random11,"B,C,E",B
random11,"B,C,E","B,E"
random11,"A,B,D",B
random11,"A,B,E","A,E"
random11,E,
random11,"A,D,E","A,E"
random11,"A,D",A
random11,"A,C,D",D
random11,"C,D,E","C,D"
random11,"B,C",C
random11,"A,C",C
random11,"A,C,D,E","C,E"
random11,"C,D,E","C,D,E"
random11,"A,E","A,E"
random11,"B,D,E","B,E"
random11,"A,C,D",A
random11,"A,B,C,D","A,C,D"
random11,"C,E",C
random12,"D,E",D
random12,"A,C,E","A,C,E"
random12,C,C
random12,"A,B,D,E",
random12,"C,D",D
random12,"B,D,E",D
random12,"B,C,D,E","B,C,D"
random12,"C,E","C,E"
random12,"B,C,E",C
random12,"A,B,E",A
random12,"B,D",D
random12,"A,C,E","C,E"
random12,"D,E","D,E"
random12,"D,E",D
random12,E,
random12,"B,C,D","B,C,D"
random12,"A,B,C,E","A,C"
random12,"B,D,E","B,D"
random12,"A,D",A
random12,"B,D",D
random12,"A,B,C,D",C
random12,"B,C,D",
random12,"A,B,C,D","A,B,C"
random12,"A,B,C,D","B,D"
random12,"C,E",E
random12,"A,C,D","A,D"
random12,"A,C","A,C"
random12,"D,E",D
random12,"A,B,D,E",
random12,"A,D",A
random12,"B,C,E",E
random12,"A,B,C",
random13,"D,E",E
random13,"B,C,E",C
random13,D,D
random13,"A,B,C,D,E","A,B"
random13,"D,E",D
random13,E,
random13,"A,B",A
random13,"A,B,C",
random13,"A,B,C,D,E",
random13,"B,C,E",
random13,"B,E","B,E"
random13,"B,C,E",E
random13,A,A
random13,"A,D",
random13,"B,D,E",E
random13,"C,E",E
random13,"B,C,E",
random13,"B,D,E",E
random13,"B,D,E","B,D"
random13,"A,E",
random13,"A,D,E",
random13,"D,E","D,E"
random13,"B,D,E",E
random13,"A,B,C,D,E","A,B,D"
random13,"A,C,E","A,C,E"
random13,A,A
random13,"B,D,E","B,D"
random13,"A,C",
random13,B,
random13,"A,B,E",
random13,"A,D",D
random13,"B,D",
random14,"B,C,D,E",E
random14,B,
random14,"A,B,E","B,E"
random14,"A,E","A,E"
random14,"B,C,E",B
random14,"A,B,C,D,E","B,D"
random14,"A,B,C",
random14,"A,D",D
random14,A,A
random14,"A,B,E",
random14,"C,D,E",D
random14,"A,C,D,E","A,E"
random14,"B,E",
random14,"A,B,D","A,B"
random14,B,B
random14,"A,B",
random14,"B,D,E",E
random14,"B,E",
random14,"A,D","A,D"
random14,"A,B,E",
random14,"B,C,E",B
random14,"B,C,D,E","C,D"
random14,"A,C",
random14,"A,C",A
random14,"A,B",B
random14,"C,D,E",
random14,"A,B,C,E",A
random14,"A,B,C","A,C"
random14,"A,B,D,E",A
random14,"C,E",
random14,"B,C,D",C
random14,"A,C,E","C,E"
random15,"A,C",A
random15,"B,C,E","C,E"
random15,A,
random15,"B,C,E",
random15,"A,B,C","A,C"
random15,"C,D",C
random15,"C,E",C
random15,"A,B,E","A,B,E"
random15,"C,E",E
random15,"C,D,E",C
random15,"A,D,E","A,D,E"
random15,"C,D","C,D"
random15,"D,E",
random15,"A,E","A,E"
random15,"A,B",
random15,"A,C,E",E
random15,"A,B,C,D","B,C,D"
random15,"A,B,C,E",C
random15,"C,E",
random15,"A,C,D,E","C,D,E"
random15,"A,D",D
random15,B,
random15,"B,D,E","D,E"
random15,"C,D",C
random15,"A,C",
random15,"B,D,E",
random15,A,
random15,"B,E","B,E"
random15,"A,B",B
random15,"C,E","C,E"
random15,"A,B,D,E","A,B,D"
random15,"A,B,C,E","B,E"
random16,"C,D",
random16,"B,C","B,C"
random16,"A,C",A
random16,"A,B,C,E","B,C,E"
random16,"B,C,D,E","B,C,D,E"
random16,"A,C,E",C
random16,"A,C,D,E","C,D"
random16,"A,C,E","A,C,E"
random16,"A,B,E",
random16,"A,B",
random16,"B,C,D,E","B,C,E"
random16,A,A
random16,"B,C,D,E","B,D,E"
random16,"B,C,E","B,C,E"
random16,"A,D",A
random16,"A,C,D,E","A,C,D,E"
random16,"A,B,D","A,B,D"
random16,"A,B,C,D,E","A,B,C"
random16,"C,D",C
random16,"C,D",
random16,"A,C,D","C,D"
random16,"D,E",
random16,"A,B,D","A,B"
random16,"A,C","A,C"
random16,B,
random16,C,
random16,"A,B,D",A
random16,"B,C,D",B
random16,"B,C",C
random16,"A,C,D,E",C
random16,"A,B,C,E","A,E"
random16,"B,C",B
random17,"C,D,E",E
random17,"A,B,C",
random17,"B,D,E",
random17,"A,C,D","A,C"
random17,"A,B,C,D,E","B,E"
random17,"B,C",
random17,"A,B,C,E",B
random17,"A,C,E","A,E"
random17,"C,D",C
random17,"C,D",D
random17,"A,B,D",
random17,"A,B,C","A,C"
random17,D,
random17,D,
random17,E,
random17,"A,B,E",
random17,"A,B,E","A,E"
random17,"A,B,D",A
random17,"C,D",D
random17,"B,C",B
random17,"B,E",
random17,"A,C,E",E
random17,"A,D",D
random17,"D,E",E
random17,"B,C,D,E","B,E"
random17,"A,B,C,D",B
random17,E,E
random17,"B,C",B
random17,"A,C,D",A
random17,"A,C,D",
random17,"A,B,E",E
random17,"A,B,C,D","A,D"
random18,"A,D",D
random18,"C,D",
random18,"A,D",
random18,"A,C",C
random18,D,
random18,"B,D,E",B
random18,"C,E",C
random18,"A,B,D","B,D"
random18,"B,C,E",
random18,"A,B",A
random18,"A,B,C,D",D
random18,"A,B,C,D,E","A,B"
random18,"A,B,D,E","A,B"
random18,"A,C,D",D
random18,D,D
random18,"B,C,D",
random18,"A,D,E",E
random18,"A,B,D",D
random18,"A,B,C","A,B,C"
random18,"A,B,D,E","A,B,E"
random18,"C,E",C
random18,"C,D","C,D"
random18,"A,C,D,E","A,C,D"
random18,A,A
random18,"B,C,E",B
random18,"A,B,D,E",
random18,"B,E",
random18,"A,B,C,E","A,C"
random18,"A,B,C,D",
random18,"B,D",D
random18,"B,E","B,E"
random18,"B,C",B
random19,E,E
random19,"A,B,D","A,B"
random19,"A,E",
random19,C,C
random19,"B,C","B,C"
random19,"A,B,C,D,E",D
random19,"A,B,E",E
random19,"D,E",
random19,"A,B,D",A
random19,"A,B","A,B"
random19,"B,D","B,D"
random19,"A,C,D","A,D"
random19,"A,D",A
random19,D,
random19,"A,C,D,E",
random19,C,
random19,C,C
random19,"A,D",D
random19,"A,B",
random19,"C,E",
random19,"A,C,D,E",
random19,"B,C,D",C
random19,B,
random19,"A,B,C,D",
random19,"A,E",
random19,"A,B",B
random19,"A,C,D,E","A,C"
random19,"A,C,E",
random19,B,
random19,"A,B,C,D","A,D"
random19,"B,E",
random19,"B,C,D",D
random20,"B,C,E","B,C"
random20,"B,E","B,E"
random20,"A,C,E",
random20,D,D
random20,"B,C,D,E","B,C,E"
random20,"A,B,C,D,E","A,B,C,D"
random20,"A,B,D,E","B,E"
random20,"A,B,C,E","A,B,C"
random20,"A,D,E",D
random20,"B,C,D",B
random20,"A,B,D,E",B
random20,"B,C","B,C"
random20,"A,C,D,E",
random20,D,
random20,"A,B,C,E","A,B,E"
random20,"A,B,C,D,E","A,B,C,D,E"
random20,"A,C,D,E",C
random20,"A,E","A,E"
random20,E,
random20,"A,B",B
random20,"B,D,E","B,E"
random20,"C,E",C
random20,"A,B,E",
random20,"C,D,E",D
random20,"A,C,D,E","A,C,D"
random20,"A,B,D,E","A,B,D"
random20,"C,D,E","C,D,E"
random20,"B,C,D,E",
random20,"A,B,C,D,E","C,E"
random20,"A,B,C,D",B
random20,"A,B,C","A,B,C"
random20,"B,C",B
random21,"A,D,E","D,E"
random21,"B,C,D,E","B,C"
random21,"A,C,D",
random21,"A,C,E","A,C"
random21,"A,B,C,D","A,C"
random21,"A,B,D","A,B,D"
random21,A,A
random21,"B,C,D","B,D"
random21,B,B
random21,"A,C,E","C,E"
random21,"B,C,D","C,D"
random21,"C,E",C
random21,"A,C,D",
random21,"D,E",D
random21,"D,E",E
random21,"A,C,E",
random21,"C,D","C,D"
random21,"A,B","A,B"
random21,"A,D","A,D"
random21,"A,B,D","A,D"
random21,"A,D",
random21,B,
random21,"A,D,E",
random21,"B,C,D","B,D"
random21,"B,D",D
random21,"B,C,E","B,C,E"
random21,"B,D",B
random21,"A,D,E","A,D,E"
random21,"A,D","A,D"
random21,"A,B,C,D",
random21,"C,E",C
random21,"A,C,E",
random22,"A,B,D,E","B,E"
random22,"B,C,D",B
random22,"A,C,D,E","A,C,D,E"
random22,"B,C,D,E","D,E"
random22,"B,E","B,E"
random22,"B,E","B,E"
random22,"C,D",D
random22,"A,E","A,E"
random22,"B,E",
random22,"A,C,D",A
random22,"A,D",
random22,C,
random22,"C,D",
random22,"A,B,E",
random22,"B,C,D,E","C,D"
random22,E,E
random22,"C,D,E","D,E"
random22,"A,B,D",
random22,"B,D,E","B,D"
random22,E,
random22,"A,B",
random22,A,A
random22,"C,D","C,D"
random22,"B,C,D","B,D"
random22,B,
random22,"B,C,E",
random22,"B,C","B,C"
random22,D,D
random22,"B,C,D",D
random22,"A,B,E","A,B,E"
random22,"B,C,E",
random22,E,
random23,"A,C,E",A
random23,"C,D,E","C,D"
random23,"A,E","A,E"
random23,"A,B,C,D","A,C"
random23,"C,D","C,D"
random23,"A,B,D,E","D,E"
random23,"A,B,C,E","C,E"
random23,"A,D",A
random23,"D,E",
random23,"A,B,C,D,E",E
random23,D,
random23,"A,C,D",
random23,"B,C,E","B,C"
random23,D,
random23,"A,C",C
random23,"A,C,D,E","A,C,D,E"
random23,"C,E",C
random23,"A,D","A,D"
random23,D,D
random23,"A,C,D,E","A,E"
random23,"A,E","A,E"
random23,"B,D","B,D"
random23,E,
random23,"A,B,D",D
random23,"A,D,E",A
random23,"A,B,D,E","A,B,D,E"
random23,"A,D,E","A,D"
random23,"A,B",
random23,"B,C",C
random23,"B,E",
random23,"A,C",C
random23,D,D
random24,"B,D",D
random24,D,
random24,"D,E",
random24,A,A
random24,"B,C",B
random24,"B,C",C
random24,"B,C,D,E",
random24,B,B
random24,A,
random24,"D,E",E
random24,A,
random24,"A,B,D,E",D
random24,"B,C,D,E","B,D"
random24,A,
random24,"B,C,E",B
random24,"B,C,D,E",
random24,"B,C,E","B,C"
random24,B,B
random24,"C,E",E
random24,"A,C,D,E",
random24,"D,E","D,E"
random24,"A,B,C","B,C"
random24,"A,B,C","A,C"
random24,"C,D,E",
random24,A,A
random24,"C,D",D
random24,"B,D",D
random24,"A,B,C,E","B,E"
random24,"A,B,E",A
random24,B,B
random24,B,
random24,"A,B,D,E",A
random25,"B,D",B
random25,"A,B,C","B,C"
random25,"A,B",B
random25,"A,C,E",A
random25,"B,D",
random25,"C,D",C
random25,"A,D",D
random25,"A,B,C,E","A,C"
random25,"B,C,D","C,D"
random25,D,
random25,"A,B","A,B"
random25,"A,B","A,B"
random25,"A,C,D",
random25,"A,B,D","B,D"
random25,"C,E",E
random25,"B,C,E",
random25,"A,D,E","A,D,E"
random25,E,E
random25,"A,B,C,E","B,C"
random25,"B,D",
random25,"A,B,C,E","A,E"
random25,"C,D","C,D"
random25,"B,D","B,D"
random25,C,
random25,"B,C,D,E",
random25,B,
random25,"A,C,D","A,C"
random25,A,A
random25,"B,C,D","B,D"
random25,D,D
random25,"A,B,C,D",
random25,"B,C,D",B
random26,D,
random26,"A,B,E","A,B"
random26,"B,C,D,E",
random26,"A,B,C,D",A
random26,E,E
random26,"A,B,C,E","B,C,E"
random26,B,B
random26,"C,D,E",
random26,"A,B,D,E",B
random26,"A,C",A
random26,"C,D","C,D"
random26,C,C
random26,"A,B",
random26,"A,B,C,D,E",C
random26,"C,D,E",E
random26,"B,C,E",
random26,C,C
random26,E,
random26,"A,B,C,D","A,B,C,D"
random26,"B,C,D","B,C"
random26,"A,B,E",
random26,"A,E",E
random26,"B,C,D,E",E
random26,"A,C,D,E",
random26,"A,E",E
random26,"A,C,D,E",
random26,"A,B,C,D","A,B,C"
random26,"A,B,D","B,D"
random26,B,B
random26,A,
random26,"D,E",
random26,"A,B,C,E","A,C"
random27,"A,B,C",A
random27,"A,B,C,E",
random27,"A,D,E",A
random27,E,
random27,"C,D",
random27,"A,B,C","A,C"
random27,"A,C,E","C,E"
random27,C,C
random27,"A,D","A,D"
random27,"A,C,E","A,C"
random27,"B,E","B,E"
random27,E,E
random27,"B,D,E",
random27,C,
random27,"B,C,D",
random27,"A,E",E
random27,"C,D",C
random27,"A,B,C,D","A,D"
random27,"B,C,D",D
random27,"A,B,C","B,C"
random27,"A,B,D,E","D,E"
random27,"A,D,E","D,E"
random27,"C,E",
random27,"A,C,E",A
random27,"A,D,E",D
random27,"A,B,D","A,B,D"
random27,E,
random27,"A,D,E",D
random27,"A,B,C,D,E","A,B,C,D,E"
random27,"B,C","B,C"
random27,"D,E",
random27,"B,D,E","B,D,E"
random28,"A,C,D,E","A,D,E"
random28,E,E
random28,A,
random28,"A,B",
random28,"A,B,C,D",
random28,"B,C,D,E","B,D,E"
random28,"A,B,C,E","B,C,E"
random28,"A,C","A,C"
random28,"A,B,C,D,E","A,C"
random28,"B,C,D,E",
random28,"C,E",E
random28,"C,E",
random28,"C,E","C,E"
random28,"B,C,E","B,C,E"
random28,"A,B,C,E",
random28,"B,D",
random28,"A,B,D",
random28,"A,E",A
random28,E,
random28,"A,D",D
random28,"A,E",A
random28,"A,B,C",
random28,"D,E","D,E"
random28,"A,D,E","D,E"
random28,D,
random28,"D,E",E
random28,"B,D,E","B,D,E"
random28,D,D
random28,"A,B,C,E",B
random28,"B,C",
random28,"A,B,C",B
random28,"B,C,E",
random29,"A,B,D","A,B,D"
random29,"A,B,D","A,B"
random29,E,
random29,"A,B,C,D","B,C,D"
random29,"A,B,C,E","B,C"
random29,"A,C",A
random29,"A,C",
random29,"A,C,E","A,C"
random29,"B,C,D","B,D"
random29,"B,D,E","D,E"
random29,"A,C,D,E",C
random29,"B,C,D,E",
random29,"A,B,C,E",
random29,"A,B,C","A,B,C"
random29,"A,B",
random29,"C,D",
random29,"A,B,D,E","B,D"
random29,"A,E",A
random29,"B,C","B,C"
random29,"A,C,E",A
random29,"A,C,D,E","A,D"
random29,"A,B,C,D","B,D"
random29,"B,D",D
random29,"A,C,E","C,E"
random29,"B,D,E","B,D"
random29,"A,C,D,E","A,D"
random29,"A,B,C,D",C
random29,"A,B",
random29,"B,E",E
random29,"A,B,C,D",A
random29,A,
random29,"A,B,D",
random30,"A,B,D",
random30,"B,C",C
random30,"C,E",E
random30,"B,C","B,C"
random30,A,
random30,"C,E",C
random30,"A,C,D","A,C"
random30,D,D
random30,"B,C,E",
random30,"A,C",
random30,"A,B,C,D,E","B,C"
random30,"A,E",
random30,E,
random30,"A,B,D","A,B"
random30,"B,C,E","C,E"
random30,"A,C","A,C"
random30,"A,D,E","A,D,E"
random30,"C,D",D
random30,"A,C",C
random30,"A,B,C","A,B"
random30,B,B
random30,"A,B,D,E",
random30,"B,D,E","B,D"
random30,"C,E",
random30,"A,E",
random30,"C,D,E",
random30,"B,C,D,E",D
random30,"B,D",D
random30,E,E
random30,"B,D",D
random30,"C,D",
random30,"D,E",E
random31,"B,D,E",D
random31,"A,C",
random31,"B,C,D,E","B,D,E"
random31,"D,E",
random31,"B,C","B,C"
random31,"A,D,E","A,E"
random31,"B,C,E",E
random31,E,
random31,C,C
random31,"B,D,E","B,E"
random31,"A,B,C,D,E","A,B,C,D,E"
random31,"B,E",B
random31,"C,E","C,E"
random31,"B,C,D","B,D"
random31,"A,E",
random31,C,C
random31,A,
random31,"C,E",
random31,"A,B","A,B"
random31,"A,C","A,C"
random31,"A,C,D,E",
random31,"A,B,C,D","B,C,D"
random31,D,
random31,"A,B,C","A,B,C"
random31,"A,B,E",A
random31,"A,B,C","B,C"
random31,"A,D,E",D
random31,A,A
random31,"A,E",E
random31,"C,D,E",C
random31,"A,B,D,E","B,D"
random31,"A,B,D","A,B,D"
random32,"B,C,E",
random32,B,
random32,"A,C,D,E",
random32,"A,B,C",C
random32,"A,B",A
random32,E,E
random32,"B,C,E",B
random32,"A,C,E",
random32,"B,E",E
random32,"B,D",B
random32,"B,C,E","B,C,E"
random32,"A,B",
random32,"A,C,D,E",
random32,"B,C",
random32,"A,E",
random32,"C,D,E",D
random32,"A,D,E",E
random32,"A,C,D,E",
random32,"B,C,D,E",
random32,"A,D",
random32,"A,B",
random32,"A,C,E","A,C"
random32,"B,C",
random32,E,
random32,"B,D,E","B,D,E"
random32,"A,C,D",A
random32,"D,E",
random32,"B,C,D",C
random32,"A,D",D
random32,"B,C",
random32,A,
random32,"B,D,E",
random33,"A,B","A,B"
random33,"A,B,C,D","A,C,D"
random33,"A,B,C,E","B,C"
random33,"A,B,C,E","A,B,C"
random33,"B,D,E",
random33,"B,E","B,E"
random33,"A,D,E",D
random33,"A,B,C",B
random33,"A,B,D,E",A
random33,"A,B",A
random33,"A,C,D","A,D"
random33,"A,C,E","C,E"
random33,C,
random33,D,D
random33,"A,B,C","A,C"
random33,C,
random33,"A,D,E","A,E"
random33,E,
random33,"B,C,D","B,C,D"
random33,A,A
random33,"A,E",
random33,D,D
random33,"A,C,D",
random33,"A,C,D,E","C,E"
random33,"A,E",
random33,"B,C",C
random33,"A,C",A
random33,E,E
random33,"C,E",
random33,"D,E","D,E"
random33,"B,C,E",
random33,"A,B,C,E",
random34,"D,E","D,E"
random34,"A,B,C","B,C"
random34,E,
random34,"B,C,E",
random34,"B,C,D,E","B,C,D,E"
random34,"A,D",
random34,"A,C,D,E","A,D,E"
random34,"B,D",D
random34,"A,B,C,D,E","A,C,D,E"
random34,"B,C,D,E",C
random34,"A,E",A
random34,"A,C,E",C
random34,"C,E",E
random34,"C,E",C
random34,"A,C","A,C"
random34,"A,B,C,D",B
random34,"A,B,C,D,E",B
random34,"B,C",C
random34,"A,B,C,E","A,B,C,E"
random34,C,C
random34,"B,C,D,E","B,C"
random34,"A,C,E",E
random34,"B,D","B,D"
random34,"A,B,E",
random34,"A,D,E","A,D,E"
random34,D,D
random34,"A,B,C,D",
random34,"B,D","B,D"
random34,"B,C",B
random34,"A,D,E","D,E"
random34,"B,C,D","B,C,D"
random34,"A,B,D,E","A,D,E"
random35,C,C
random35,B,B
random35,"B,C",B
random35,"C,E",
random35,"A,B,C,D","B,D"
random35,"B,C,E",E
random35,A,A
random35,"B,C,D","B,C,D"
random35,C,
random35,"A,C,E","A,E"
random35,"A,B,E",B
random35,"C,E",E
random35,"C,D,E",C
random35,"D,E",
random35,D,D
random35,"C,D,E","C,D"
random35,"A,D",
random35,"A,D",A
random35,"A,B,D",D
random35,B,
random35,E,E
random35,"A,B,C,D,E","A,B,C"
random35,"A,B,D,E",
random35,"A,D",
random35,"A,C,D,E","A,D"
random35,"A,B,D,E",
random35,"C,D",
random35,A,A
random35,"A,B,C",C
random35,"A,C,E",
random35,"A,B,D",D
random35,B,B
random36,"A,B,C,D","A,D"
random36,"B,C,E",B
random36,"B,C,D,E",D
random36,"A,B,C",C
random36,"D,E",
random36,C,C
random36,"B,C",
random36,"D,E",
random36,"A,B,D",B
random36,"B,D",D
random36,C,
random36,"A,B,E","B,E"
random36,"B,E",E
random36,"D,E",E
random36,"B,C,E",
random36,"A,B,C","A,B"
random36,"A,B",B
random36,"D,E",
random36,"A,B,C,E","A,E"
random36,"A,E",
random36,"A,B,D,E",E
random36,"B,E",B
random36,"A,E",
random36,"B,D,E",D
random36,"B,C,D","C,D"
random36,"B,D,E",
random36,C,C
random36,"A,C,D","C,D"
random36,"A,D",D
random36,"A,B,C,D,E",B
random36,A,
random36,"B,C",B
random37,C,
random37,"A,B,C,D",C
random37,"C,E","C,E"
random37,"A,B,D",
random37,"B,C","B,C"
random37,"B,D",
random37,A,
random37,"B,C,D,E","B,C,D,E"
random37,"A,B,C","A,B"
random37,"A,C,E","C,E"
random37,"B,D,E",
random37,"A,D",D
random37,"A,B,D,E","B,D"
random37,"C,D,E","C,D,E"
random37,"B,C,D,E",
