"subject","menu","default","choice"
"random4","B,D,E","E","D"
"random4","A,B,D,E","E","B"
"random4","C,D,E","E","E"
"random4","A,C,D,E","C","C"
"random4","B,C,D,E","C","E"
"random4","A,B,C,D,E","B","C"
"random5","A","A","A"
"random5","B","B","B"
"random5","A,B","A","A"
"random5","C","C","C"
"random5","A,C","C","C"
"random5","B,C","C","C"
"random5","A,B,C","C","A"
"random5","D","D","D"
"random5","A,D","D","D"
"random5","B,D","B","D"
"random5","A,B,D","D","B"
"random5","C,D","D","C"
"random5","A,C,D","A","D"
"random5","B,C,D","B","C"
"random5","A,B,C,D","D","C"
"random5","E","E","E"
"random5","A,E","E","E"
"random5","B,E","B","E"
"random5","A,B,E","B","B"
"random5","C,E","E","C"
"random5","A,C,E","C","C"
"random5","B,C,E","E","B"
"random5","A,B,C,E","E","B"
"random5","D,E","D","E"
"random5","A,D,E","E","D"
"random5","B,D,E","D","D"
"random5","A,B,D,E","E","D"
"random5","C,D,E","D","C"
"random5","A,C,D,E","A","C"
"random5","B,C,D,E","C","E"
"random5","A,B,C,D,E","B","A"
"random6","A","A","A"
"random6","B","B","B"
"random6","A,B","B","A"
"random6","C","C","C"
"random6","A,C","A","C"
"random6","B,C","C","C"
"random6","A,B,C","C","B"
"random6","D","D","D"
"random6","A,D","D","D"
"random6","B,D","D","B"
"random6","A,B,D","D","D"
"random6","C,D","D","D"
"random6","A,C,D","A","C"
"random6","B,C,D","C","B"
"random6","A,B,C,D","C","B"
"random6","E","E","E"
"random6","A,E","E","A"
"random6","B,E","E","B"
"random6","A,B,E","E","A"
"random6","C,E","C","E"
"random6","A,C,E","C","A"
"random6","B,C,E","C","C"
"random6","A,B,C,E","B","C"
"random6","D,E","E","D"
"random6","A,D,E","E","D"
"random6","B,D,E","D","D"
"random6","A,B,D,E","A","B"
"random6","C,D,E","C","C"
"random6","A,C,D,E","C","A"
"random6","B,C,D,E","D","D"
"random6","A,B,C,D,E","B","C"
"random7","A","A","A"
"random7","B","B","B"
"random7","A,B","A","A"
"random7","C","C","C"
"random7","A,C","A","C"
"random7","B,C","B","B"
"random7","A,B,C","C","C"
"random7","D","D","D"
"random7","A,D","D","A"
"random7","B,D","D","B"
"random7","A,B,D","D","B"
"random7","C,D","C","C"
"random7","A,C,D","A","A"
"random7","B,C,D","D","D"
"random7","A,B,C,D","A","B"
"random7","E","E","E"
"random7","A,E","E","A"
"random7","B,E","E","E"
"random7","A,B,E","A","A"
"random7","C,E","E","C"
"random7","A,C,E","C","C"
"random7","B,C,E","B","B"
"random7","A,B,C,E","E","A"
"random7","D,E","D","E"
"random7","A,D,E","E","E"
"random7","B,D,E","B","B"
"random7","A,B,D,E","B","A"
"random7","C,D,E","E","D"
"random7","A,C,D,E","A","E"
"random7","B,C,D,E","E","E"
"random7","A,B,C,D,E","C","C"
"random8","A","A","A"
"random8","B","B","B"
"random8","A,B","B","A"
"random8","C","C","C"
"random8","A,C","A","C"
"random8","B,C","B","C"
"random8","A,B,C","C","C"
"random8","D","D","D"
"random8","A,D","A","D"
"random8","B,D","B","D"
"random8","A,B,D","D","D"
"random8","C,D","D","D"
"random8","A,C,D","C","A"
"random8","B,C,D","B","B"
"random8","A,B,C,D","D","D"
"random8","E","E","E"
"random8","A,E","E","E"
"random8","B,E","B","E"
"random8","A,B,E","A","E"
"random8","C,E","E","E"
"random8","A,C,E","C","E"
"random8","B,C,E","C","B"
"random8","A,B,C,E","A","E"
"random8","D,E","D","D"
"random8","A,D,E","A","A"
"random8","B,D,E","D","D"
"random8","A,B,D,E","A","B"
"random8","C,D,E","E","E"
"random8","A,C,D,E","A","D"
"random8","B,C,D,E","C","C"
"random8","A,B,C,D,E","B","C"
"random9","A","A","A"
"random9","B","B","B"
"random9","A,B","A","B"
"random9","C","C","C"
"random9","A,C","A","C"
"random9","B,C","C","B"
"random9","A,B,C","A","A"
"random9","D","D","D"
"random9","A,D","A","D"
"random9","B,D","B","D"
"random9","A,B,D","A","B"
"random9","C,D","C","C"
"random9","A,C,D","C","C"
"random9","B,C,D","B","B"
"random9","A,B,C,D","A","D"
"random9","E","E","E"
"random9","A,E","E","A"
"random9","B,E","E","E"
"random9","A,B,E","A","E"
"random9","C,E","E","E"
"random9","A,C,E","A","A"
"random9","B,C,E","E","B"
"random9","A,B,C,E","A","E"
"random9","D,E","D","D"
"random9","A,D,E","D","E"
"random9","B,D,E","B","E"
"random9","A,B,D,E","B","E"
"random9","C,D,E","C","D"
"random9","A,C,D,E","D","A"
"random9","B,C,D,E","D","E"
"random9","A,B,C,D,E","C","A"
"random10","A","A","A"
"random10","B","B","B"
"random10","A,B","A","B"
"random10","C","C","C"
"random10","A,C","A","A"
"random10","B,C","C","C"
"random10","A,B,C","B","B"
"random10","D","D","D"
"random10","A,D","D","D"
"random10","B,D","B","D"
"random10","A,B,D","D","B"
"random10","C,D","C","D"
"random10","A,C,D","D","D"
"random10","B,C,D","B","D"
"random10","A,B,C,D","C","C"
"random10","E","E","E"
"random10","A,E","A","A"
"random10","B,E","E","B"
"random10","A,B,E","A","B"
"random10","C,E","E","C"
"random10","A,C,E","C","A"
"random10","B,C,E","C","E"
"random10","A,B,C,E","C","B"
"random10","D,E","D","E"
"random10","A,D,E","E","D"
"random10","B,D,E","E","E"
"random10","A,B,D,E","B","E"
"random10","C,D,E","D","D"
"random10","A,C,D,E","C","C"
"random10","B,C,D,E","D","B"
"random10","A,B,C,D,E","E","C"
"random11","A","A","A"
"random11","B","B","B"
"random11","A,B","A","A"
"random11","C","C","C"
"random11","A,C","A","A"
"random11","B,C","B","C"
"random11","A,B,C","A","B"
"random11","D","D","D"
"random11","A,D","A","A"
"random11","B,D","D","B"
"random11","A,B,D","B","B"
"random11","C,D","D","D"
"random11","A,C,D","C","C"
"random11","B,C,D","C","D"
"random11","A,B,C,D","A","B"
"random11","E","E","E"
"random11","A,E","E","E"
"random11","B,E","B","E"
"random11","A,B,E","B","A"
"random11","C,E","E","C"
"random11","A,C,E","C","C"
"random11","B,C,E","E","B"
"random11","A,B,C,E","C","C"
"random11","D,E","E","D"
"random11","A,D,E","A","A"
"random11","B,D,E","E","D"
"random11","A,B,D,E","A","D"
"random11","C,D,E","D","E"
"random11","A,C,D,E","A","C"
"random11","B,C,D,E","E","C"
"random11","A,B,C,D,E","D","B"
"random12","A","A","A"
"random12","B","B","B"
"random12","A,B","B","A"
"random12","C","C","C"
"random12","A,C","A","A"
"random12","B,C","B","C"
"random12","A,B,C","C","B"
"random12","D","D","D"
"random12","A,D","A","D"
"random12","B,D","B","B"
"random12","A,B,D","A","A"
"random12","C,D","D","D"
"random12","A,C,D","C","C"
"random12","B,C,D","D","D"
"random12","A,B,C,D","A","D"
"random12","E","E","E"
"random12","A,E","E","A"
"random12","B,E","B","B"
"random12","A,B,E","E","B"
"random12","C,E","E","E"
"random12","A,C,E","C","A"
"random12","B,C,E","B","C"
"random12","A,B,C,E","A","B"
"random12","D,E","E","D"
"random12","A,D,E","D","A"
"random12","B,D,E","D","E"
"random12","A,B,D,E","A","E"
"random12","C,D,E","C","D"
"random12","A,C,D,E","E","C"
"random12","B,C,D,E","D","B"
"random12","A,B,C,D,E","B","A"
"random13","A","A","A"
"random13","B","B","B"
"random13","A,B","B","A"
"random13","C","C","C"
"random13","A,C","A","C"
"random13","B,C","B","B"
"random13","A,B,C","A","A"
"random13","D","D","D"
"random13","A,D","A","D"
"random13","B,D","B","B"
"random13","A,B,D","A","A"
"random13","C,D","C","D"
"random13","A,C,D","D","C"
"random13","B,C,D","C","C"
"random13","A,B,C,D","A","D"
"random13","E","E","E"
"random13","A,E","E","A"
"random13","B,E","E","B"
"random13","A,B,E","B","A"
"random13","C,E","C","E"
"random13","A,C,E","A","C"
"random13","B,C,E","B","B"
"random13","A,B,C,E","C","C"
"random13","D,E","D","D"
"random13","A,D,E","A","A"
"random13","B,D,E","D","B"
"random13","A,B,D,E","D","E"
"random13","C,D,E","E","C"
"random13","A,C,D,E","C","A"
"random13","B,C,D,E","C","C"
"random13","A,B,C,D,E","E","C"
"random14","A","A","A"
"random14","B","B","B"
"random14","A,B","B","A"
"random14","C","C","C"
"random14","A,C","A","A"
"random14","B,C","B","C"
"random14","A,B,C","C","B"
"random14","D","D","D"
"random14","A,D","D","A"
"random14","B,D","D","D"
"random14","A,B,D","D","D"
"random14","C,D","C","C"
"random14","A,C,D","C","C"
"random14","B,C,D","B","D"
"random14","A,B,C,D","C","D"
"random14","E","E","E"
"random14","A,E","A","E"
"random14","B,E","E","E"
"random14","A,B,E","B","B"
"random14","C,E","E","E"
"random14","A,C,E","E","C"
"random14","B,C,E","C","B"
"random14","A,B,C,E","C","A"
"random14","D,E","E","E"
"random14","A,D,E","A","E"
"random14","B,D,E","B","D"
"random14","A,B,D,E","B","E"
"random14","C,D,E","E","D"
"random14","A,C,D,E","C","E"
"random14","B,C,D,E","B","D"
"random14","A,B,C,D,E","A","D"
"random15","A","A","A"
"random15","B","B","B"
"random15","A,B","B","B"
"random15","C","C","C"
"random15","A,C","A","A"
"random15","B,C","C","B"
"random15","A,B,C","A","B"
"random15","D","D","D"
"random15","A,D","D","D"
"random15","B,D","B","D"
"random15","A,B,D","A","A"
"random15","C,D","C","C"
"random15","A,C,D","C","D"
"random15","B,C,D","C","D"
"random15","A,B,C,D","B","A"
"random15","E","E","E"
"random15","A,E","E","A"
"random15","B,E","B","E"
"random15","A,B,E","A","B"
"random15","C,E","C","C"
"random15","A,C,E","A","E"
"random15","B,C,E","C","B"
"random15","A,B,C,E","E","C"
"random15","D,E","E","E"
"random15","A,D,E","E","A"
"random15","B,D,E","B","B"
"random15","A,B,D,E","B","B"
"random15","C,D,E","C","E"
"random15","A,C,D,E","D","E"
"random15","B,C,D,E","C","C"
"random15","A,B,C,D,E","A","C"
"random16","A","A","A"
"random16","B","B","B"
"random16","A,B","A","A"
"random16","C","C","C"
"random16","A,C","A","A"
"random16","B,C","C","C"
"random16","A,B,C","A","C"
"random16","D","D","D"
"random16","A,D","D","A"
"random16","B,D","B","B"
"random16","A,B,D","D","B"
"random16","C,D","D","D"
"random16","A,C,D","C","C"
"random16","B,C,D","C","D"
"random16","A,B,C,D","B","A"
"random16","E","E","E"
"random16","A,E","A","A"
"random16","B,E","B","B"
"random16","A,B,E","E","B"
"random16","C,E","E","E"
"random16","A,C,E","E","A"
"random16","B,C,E","E","B"
"random16","A,B,C,E","B","A"
"random16","D,E","D","E"
"random16","A,D,E","E","A"
"random16","B,D,E","B","E"
"random16","A,B,D,E","D","D"
"random16","C,D,E","C","E"
"random16","A,C,D,E","D","C"
"random16","B,C,D,E","E","E"
"random16","A,B,C,D,E","E","C"
"random17","A","A","A"
"random17","B","B","B"
"random17","A,B","B","A"
"random17","C","C","C"
"random17","A,C","C","A"
"random17","B,C","B","B"
"random17","A,B,C","B","A"
"random17","D","D","D"
"random17","A,D","D","A"
"random17","B,D","D","D"
"random17","A,B,D","A","B"
"random17","C,D","D","C"
"random17","A,C,D","A","A"
"random17","B,C,D","B","B"
"random17","A,B,C,D","A","C"
"random17","E","E","E"
"random17","A,E","A","E"
"random17","B,E","E","E"
"random17","A,B,E","E","A"
"random17","C,E","C","C"
"random17","A,C,E","A","A"
"random17","B,C,E","E","C"
"random17","A,B,C,E","E","E"
"random17","D,E","D","E"
"random17","A,D,E","D","D"
"random17","B,D,E","B","E"
"random17","A,B,D,E","A","E"
"random17","C,D,E","D","E"
"random17","A,C,D,E","A","C"
"random17","B,C,D,E","E","D"
"random17","A,B,C,D,E","E","B"
"random18","A","A","A"
"random18","B","B","B"
"random18","A,B","B","A"
"random18","C","C","C"
"random18","A,C","A","A"
"random18","B,C","C","C"
"random18","A,B,C","C","B"
"random18","D","D","D"
"random18","A,D","D","D"
"random18","B,D","D","B"
"random18","A,B,D","A","A"
"random18","C,D","C","C"
"random18","A,C,D","C","D"
"random18","B,C,D","B","C"
"random18","A,B,C,D","D","A"
"random18","E","E","E"
"random18","A,E","A","E"
"random18","B,E","E","B"
"random18","A,B,E","E","B"
"random18","C,E","C","C"
"random18","A,C,E","C","C"
"random18","B,C,E","B","C"
"random18","A,B,C,E","A","E"
"random18","D,E","E","E"
"random18","A,D,E","A","A"
"random18","B,D,E","B","B"
"random18","A,B,D,E","D","E"
"random18","C,D,E","D","C"
"random18","A,C,D,E","A","D"
"random18","B,C,D,E","D","B"
"random18","A,B,C,D,E","C","A"
"random19","A","A","A"
"random19","B","B","B"
"random19","A,B","A","B"
"random19","C","C","C"
"random19","A,C","C","A"
"random19","B,C","B","B"
"random19","A,B,C","B","C"
"random19","D","D","D"
"random19","A,D","D","D"
"random19","B,D","B","D"
"random19","A,B,D","A","A"
"random19","C,D","D","D"
"random19","A,C,D","A","C"
"random19","B,C,D","B","B"
"random19","A,B,C,D","A","D"
"random19","E","E","E"
"random19","A,E","E","A"
"random19","B,E","B","B"
"random19","A,B,E","E","B"
"random19","C,E","E","E"
"random19","A,C,E","C","E"
"random19","B,C,E","C","E"
"random19","A,B,C,E","E","E"
"random19","D,E","E","D"
"random19","A,D,E","D","E"
"random19","B,D,E","E","E"
"random19","A,B,D,E","D","A"
"random19","C,D,E","D","E"
"random19","A,C,D,E","A","A"
"random19","B,C,D,E","E","D"
"random19","A,B,C,D,E","E","A"
"random20","A","A","A"
"random20","B","B","B"
"random20","A,B","B","A"
"random20","C","C","C"
"random20","A,C","C","C"
"random20","B,C","B","C"
"random20","A,B,C","A","C"
"random20","D","D","D"
"random20","A,D","D","A"
"random20","B,D","B","B"
"random20","A,B,D","A","D"
"random20","C,D","D","C"
"random20","A,C,D","C","A"
"random20","B,C,D","C","C"
"random20","A,B,C,D","A","C"
"random20","E","E","E"
"random20","A,E","E","E"
"random20","B,E","E","B"
"random20","A,B,E","E","E"
"random20","C,E","C","E"
"random20","A,C,E","E","E"
"random20","B,C,E","B","B"
"random20","A,B,C,E","E","A"
"random20","D,E","E","D"
"random20","A,D,E","D","E"
"random20","B,D,E","E","D"
"random20","A,B,D,E","D","B"
"random20","C,D,E","C","D"
"random20","A,C,D,E","C","A"
"random20","B,C,D,E","C","D"
"random20","A,B,C,D,E","D","B"
"random21","A","A","A"
"random21","B","B","B"
"random21","A,B","B","B"
"random21","C","C","C"
"random21","A,C","C","A"
"random21","B,C","B","B"
"random21","A,B,C","B","A"
"random21","D","D","D"
"random21","A,D","A","A"
"random21","B,D","D","D"
"random21","A,B,D","D","B"
"random21","C,D","D","D"
"random21","A,C,D","A","C"
"random21","B,C,D","D","B"
"random21","A,B,C,D","B","A"
"random21","E","E","E"
"random21","A,E","A","E"
"random21","B,E","E","B"
"random21","A,B,E","E","B"
"random21","C,E","E","E"
"random21","A,C,E","C","A"
"random21","B,C,E","E","C"
"random21","A,B,C,E","C","A"
"random21","D,E","D","E"
"random21","A,D,E","A","D"
"random21","B,D,E","D","D"
"random21","A,B,D,E","B","B"
"random21","C,D,E","D","E"
"random21","A,C,D,E","D","C"
"random21","B,C,D,E","E","E"
"random21","A,B,C,D,E","E","B"
"random22","A","A","A"
"random22","B","B","B"
"random22","A,B","B","B"
"random22","C","C","C"
"random22","A,C","C","A"
"random22","B,C","B","C"
"random22","A,B,C","B","B"
"random22","D","D","D"
"random22","A,D","D","A"
"random22","B,D","B","B"
"random22","A,B,D","B","A"
"random22","C,D","D","C"
"random22","A,C,D","D","C"
"random22","B,C,D","C","B"
"random22","A,B,C,D","C","D"
"random22","E","E","E"
"random22","A,E","A","A"
"random22","B,E","E","E"
"random22","A,B,E","B","B"
"random22","C,E","C","C"
"random22","A,C,E","C","A"
"random22","B,C,E","E","E"
"random22","A,B,C,E","E","E"
"random22","D,E","D","D"
"random22","A,D,E","D","D"
"random22","B,D,E","D","B"
"random22","A,B,D,E","A","E"
"random22","C,D,E","C","E"
"random22","A,C,D,E","A","C"
"random22","B,C,D,E","C","C"
"random22","A,B,C,D,E","E","B"
"random23","A","A","A"
"random23","B","B","B"
"random23","A,B","A","B"
"random23","C","C","C"
"random23","A,C","A","A"
"random23","B,C","B","C"
"random23","A,B,C","A","C"
"random23","D","D","D"
"random23","A,D","D","D"
"random23","B,D","B","B"
"random23","A,B,D","A","A"
"random23","C,D","D","C"
"random23","A,C,D","C","C"
"random23","B,C,D","D","D"
"random23","A,B,C,D","A","D"
"random23","E","E","E"
"random23","A,E","A","E"
"random23","B,E","B","B"
"random23","A,B,E","A","E"
"random23","C,E","C","C"
"random23","A,C,E","A","C"
"random23","B,C,E","C","E"
"random23","A,B,C,E","A","C"
"random23","D,E","E","E"
"random23","A,D,E","D","D"
"random23","B,D,E","E","D"
"random23","A,B,D,E","B","E"
"random23","C,D,E","E","C"
"random23","A,C,D,E","C","C"
"random23","B,C,D,E","B","E"
"random23","A,B,C,D,E","B","C"
"random24","A","A","A"
"random24","B","B","B"
"random24","A,B","B","B"
"random24","C","C","C"
"random24","A,C","C","A"
"random24","B,C","C","B"
"random24","A,B,C","B","C"
"random24","D","D","D"
"random24","A,D","A","D"
"random24","B,D","B","B"
"random24","A,B,D","A","A"
"random24","C,D","C","C"
"random24","A,C,D","D","D"
"random24","B,C,D","C","D"
"random24","A,B,C,D","B","A"
"random24","E","E","E"
"random24","A,E","A","E"
"random24","B,E","B","B"
"random24","A,B,E","B","E"
"random24","C,E","E","E"
"random24","A,C,E","C","C"
"random24","B,C,E","E","B"
"random24","A,B,C,E","B","C"
"random24","D,E","E","D"
"random24","A,D,E","D","E"
"random24","B,D,E","B","B"
"random24","A,B,D,E","E","E"
"random24","C,D,E","E","C"
"random24","A,C,D,E","E","E"
"random24","B,C,D,E","C","D"
"random24","A,B,C,D,E","E","C"
"random25","A","A","A"
"random25","B","B","B"
"random25","A,B","A","B"
"random25","C","C","C"
"random25","A,C","C","C"
"random25","B,C","C","B"
"random25","A,B,C","B","B"
"random25","D","D","D"
"random25","A,D","A","A"
"random25","B,D","B","B"
"random25","A,B,D","B","A"
"random25","C,D","D","C"
"random25","A,C,D","D","A"
"random25","B,C,D","D","D"
"random25","A,B,C,D","D","A"
"random25","E","E","E"
"random25","A,E","E","E"
"random25","B,E","E","B"
"random25","A,B,E","A","A"
"random25","C,E","E","E"
"random25","A,C,E","A","E"
"random25","B,C,E","C","B"
"random25","A,B,C,E","B","E"
"random25","D,E","D","D"
"random25","A,D,E","D","E"
"random25","B,D,E","D","B"
"random25","A,B,D,E","E","E"
"random25","C,D,E","C","C"
"random25","A,C,D,E","D","E"
"random25","B,C,D,E","C","E"
"random25","A,B,C,D,E","C","D"
"random26","A","A","A"
"random26","B","B","B"
"random26","A,B","B","A"
"random26","C","C","C"
"random26","A,C","C","A"
"random26","B,C","B","C"
"random26","A,B,C","B","A"
"random26","D","D","D"
"random26","A,D","A","D"
"random26","B,D","D","B"
"random26","A,B,D","A","A"
"random26","C,D","D","D"
"random26","A,C,D","A","C"
"random26","B,C,D","B","D"
"random26","A,B,C,D","A","D"
"random26","E","E","E"
"random26","A,E","E","E"
"random26","B,E","E","E"
"random26","A,B,E","B","B"
"random26","C,E","C","C"
"random26","A,C,E","E","E"
"random26","B,C,E","C","C"
"random26","A,B,C,E","E","C"
"random26","D,E","D","D"
"random26","A,D,E","E","D"
"random26","B,D,E","D","D"
"random26","A,B,D,E","B","E"
"random26","C,D,E","E","C"
"random26","A,C,D,E","C","D"
"random26","B,C,D,E","E","B"
"random26","A,B,C,D,E","E","E"
"random27","A","A","A"
"random27","B","B","B"
"random27","A,B","A","B"
"random27","C","C","C"
"random27","A,C","A","A"
"random27","B,C","B","B"
"random27","A,B,C","C","A"
"random27","D","D","D"
"random27","A,D","D","D"
"random27","B,D","B","D"
"random27","A,B,D","B","A"
"random27","C,D","D","D"
"random27","A,C,D","C","D"
"random27","B,C,D","D","D"
"random27","A,B,C,D","D","B"
"random27","E","E","E"
"random27","A,E","A","A"
"random27","B,E","B","E"
"random27","A,B,E","A","A"
"random27","C,E","C","C"
"random27","A,C,E","A","C"
"random27","B,C,E","C","B"
"random27","A,B,C,E","A","E"
"random27","D,E","E","E"
"random27","A,D,E","A","A"
"random27","B,D,E","D","B"
"random27","A,B,D,E","A","B"
"random27","C,D,E","D","E"
"random27","A,C,D,E","C","E"
"random27","B,C,D,E","B","B"
"random27","A,B,C,D,E","B","D"
"random28","A","A","A"
"random28","B","B","B"
"random28","A,B","B","B"
"random28","C","C","C"
"random28","A,C","C","A"
"random28","B,C","C","C"
"random28","A,B,C","B","B"
"random28","D","D","D"
"random28","A,D","D","A"
"random28","B,D","D","B"
"random28","A,B,D","A","A"
"random28","C,D","C","C"
"random28","A,C,D","C","A"
"random28","B,C,D","C","C"
"random28","A,B,C,D","A","B"
"random28","E","E","E"
"random28","A,E","A","A"
"random28","B,E","E","B"
"random28","A,B,E","E","B"
"random28","C,E","E","E"
"random28","A,C,E","E","A"
"random28","B,C,E","B","E"
"random28","A,B,C,E","A","C"
"random28","D,E","D","E"
"random28","A,D,E","A","A"
"random28","B,D,E","E","E"
"random28","A,B,D,E","A","E"
"random28","C,D,E","D","D"
"random28","A,C,D,E","A","D"
"random28","B,C,D,E","B","D"
"random28","A,B,C,D,E","B","C"
"random29","A","A","A"
"random29","B","B","B"
"random29","A,B","B","B"
"random29","C","C","C"
"random29","A,C","C","C"
"random29","B,C","B","C"
"random29","A,B,C","C","A"
"random29","D","D","D"
"random29","A,D","A","D"
"random29","B,D","B","B"
"random29","A,B,D","B","A"
"random29","C,D","C","D"
"random29","A,C,D","D","D"
"random29","B,C,D","B","D"
"random29","A,B,C,D","C","D"
"random29","E","E","E"
"random29","A,E","A","E"
"random29","B,E","E","B"
"random29","A,B,E","B","E"
"random29","C,E","C","C"
"random29","A,C,E","A","A"
"random29","B,C,E","C","C"
"random29","A,B,C,E","C","A"
"random29","D,E","E","D"
"random29","A,D,E","E","E"
"random29","B,D,E","B","D"
"random29","A,B,D,E","E","D"
"random29","C,D,E","C","E"
"random29","A,C,D,E","D","D"
"random29","B,C,D,E","C","B"
"random29","A,B,C,D,E","C","C"
"random30","A","A","A"
"random30","B","B","B"
"random30","A,B","B","A"
"random30","C","C","C"
"random30","A,C","C","A"
"random30","B,C","B","C"
"random30","A,B,C","B","C"
"random30","D","D","D"
"random30","A,D","A","A"
"random30","B,D","B","B"
"random30","A,B,D","B","B"
"random30","C,D","D","D"
"random30","A,C,D","D","C"
"random30","B,C,D","C","D"
"random30","A,B,C,D","B","B"
"random30","E","E","E"
"random30","A,E","A","A"
"random30","B,E","E","E"
"random30","A,B,E","B","A"
"random30","C,E","E","E"
"random30","A,C,E","C","E"
"random30","B,C,E","C","B"
"random30","A,B,C,E","B","A"
"random30","D,E","E","E"
"random30","A,D,E","D","E"
"random30","B,D,E","E","E"
"random30","A,B,D,E","A","E"
"random30","C,D,E","E","D"
"random30","A,C,D,E","C","D"
"random30","B,C,D,E","C","B"
"random30","A,B,C,D,E","C","C"
"random31","A","A","A"
"random31","B","B","B"
"random31","A,B","A","A"
"random31","C","C","C"
"random31","A,C","A","C"
"random31","B,C","C","C"
"random31","A,B,C","A","B"
"random31","D","D","D"
"random31","A,D","A","A"
"random31","B,D","B","B"
"random31","A,B,D","B","B"
"random31","C,D","C","C"
"random31","A,C,D","A","A"
"random31","B,C,D","B","C"
"random31","A,B,C,D","C","D"
"random31","E","E","E"
"random31","A,E","A","A"
"random31","B,E","B","B"
"random31","A,B,E","E","B"
"random31","C,E","E","C"
"random31","A,C,E","E","C"
"random31","B,C,E","B","B"
"random31","A,B,C,E","C","C"
"random31","D,E","D","D"
"random31","A,D,E","E","E"
"random31","B,D,E","E","B"
"random31","A,B,D,E","D","B"
"random31","C,D,E","E","C"
"random31","A,C,D,E","D","A"
"random31","B,C,D,E","B","B"
"random31","A,B,C,D,E","B","A"
"random32","A","A","A"
"random32","B","B","B"
"random32","A,B","B","A"
"random32","C","C","C"
"random32","A,C","A","A"
"random32","B,C","C","C"
"random32","A,B,C","B","C"
"random32","D","D","D"
"random32","A,D","A","A"
"random32","B,D","D","D"
"random32","A,B,D","D","B"
"random32","C,D","D","C"
"random32","A,C,D","A","C"
"random32","B,C,D","C","B"
"random32","A,B,C,D","B","C"
"random32","E","E","E"
"random32","A,E","E","E"
"random32","B,E","E","E"
"random32","A,B,E","A","A"
"random32","C,E","E","E"
"random32","A,C,E","E","C"
"random32","B,C,E","B","B"
"random32","A,B,C,E","C","C"
"random32","D,E","E","D"
"random32","A,D,E","E","E"
"random32","B,D,E","E","B"
